kanal,ay,impressions,clicks,spend,conversions,revenue,ctr,cvr,cpc,cpm,cpa,ort_donusum_degeri,roas
Instagram,1,1720107,32172,48783,599,99008,1.87,1.86,1.52,28.36,81.44,165.29,2.03
Instagram,2,1557121,31502,47406,546,92767,2.02,1.73,1.5,30.44,86.82,169.9,1.96
Instagram,3,1570479,31937,45220,610,91252,2.03,1.91,1.42,28.79,74.13,149.59,2.02
Instagram,4,1921842,37631,59285,717,112373,1.96,1.91,1.58,30.85,82.68,156.73,1.9
Instagram,5,1828461,36388,57348,702,106927,1.99,1.93,1.58,31.36,81.69,152.32,1.86
Instagram,6,1704404,36581,56754,716,113329,2.15,1.96,1.55,33.3,79.27,158.28,2.0
Instagram,7,1631972,35440,54023,635,95572,2.17,1.79,1.52,33.1,85.08,150.51,1.77
Instagram,8,1673314,32435,50112,590,89404,1.94,1.82,1.54,29.95,84.94,151.53,1.78
Instagram,9,1486196,28665,43521,551,87196,1.93,1.92,1.52,29.28,78.99,158.25,2.0
Instagram,10,1780444,36765,49918,714,103574,2.06,1.94,1.36,28.04,69.91,145.06,2.07
Instagram,11,1567977,31184,42580,567,88344,1.99,1.82,1.37,27.16,75.1,155.81,2.07
Instagram,12,2294197,47640,69955,830,133509,2.08,1.74,1.47,30.49,84.28,160.85,1.91
TikTok,1,2112620,41019,40140,739,124409,1.94,1.8,0.98,19.0,54.32,168.35,3.1
TikTok,2,1949003,39714,37924,675,113330,2.04,1.7,0.95,19.46,56.18,167.9,2.99
TikTok,3,1893765,39636,37093,745,116041,2.09,1.88,0.94,19.59,49.79,155.76,3.13
TikTok,4,2282519,47400,47533,887,138187,2.08,1.87,1.0,20.82,53.59,155.79,2.91
TikTok,5,2165819,44964,46113,868,131777,2.08,1.93,1.03,21.29,53.13,151.82,2.86
TikTok,6,2051995,46469,45535,867,136097,2.26,1.87,0.98,22.19,52.52,156.97,2.99
TikTok,7,2321236,52304,45540,909,142209,2.25,1.74,0.87,19.62,50.1,156.45,3.12
TikTok,8,2515056,51908,44106,916,140844,2.06,1.76,0.85,17.54,48.15,153.76,3.19
TikTok,9,1846314,36520,35760,682,107590,1.98,1.87,0.98,19.37,52.43,157.76,3.01
TikTok,10,2115203,45029,39690,858,127829,2.13,1.91,0.88,18.76,46.26,148.98,3.22
TikTok,11,1882573,39000,34809,690,111719,2.07,1.77,0.89,18.49,50.45,161.91,3.21
TikTok,12,1990299,44011,56662,1034,132858,2.21,2.35,1.29,28.47,54.8,128.49,2.34
