date,impressions,clicks,spend,conversions,revenue
2025-01-01,27382,483,646,8,1375
2025-01-02,99168,1561,2255,35,5159
2025-01-03,14891,273,311,6,717
2025-01-04,42989,682,1192,13,2969
2025-01-05,36381,559,784,13,2556
2025-01-06,56836,1129,2015,16,2697
2025-01-07,45926,1145,1218,28,5549
2025-01-08,43071,356,602,9,1395
2025-01-09,82343,1867,2349,30,5835
2025-01-10,76027,1249,2416,16,3085
2025-01-11,80956,733,1279,18,2912
2025-01-12,68072,1332,2367,15,3234
2025-01-13,97608,1947,2122,29,3395
2025-01-14,68669,1236,2483,24,3585
2025-01-15,65250,2003,2482,24,2436
2025-01-16,20589,580,1144,10,1518
2025-01-17,92484,2150,3541,56,9247
2025-01-18,56463,1561,1939,22,3328
2025-01-19,70426,776,1388,19,2295
2025-01-20,70773,952,1248,17,3417
2025-01-21,62871,1454,2214,27,4439
2025-01-22,37897,482,659,10,1156
2025-01-23,12972,156,146,3,546
2025-01-24,71010,1165,1830,24,5066
2025-01-25,43205,1321,2170,27,4934
2025-01-26,27299,352,556,6,1059
2025-01-27,25667,378,729,7,1299
2025-01-28,69148,679,1230,17,3373
2025-01-29,28266,781,809,12,2450
2025-01-30,47724,1392,2368,26,3396
2025-01-31,77744,1438,2291,32,4586
2025-02-01,99439,2594,2851,55,7336
2025-02-02,29408,413,689,8,1410
2025-02-03,27715,667,693,14,2306
2025-02-04,15515,403,484,7,1049
2025-02-05,70280,2077,3965,34,7054
2025-02-06,81872,931,1516,19,2339
2025-02-07,81286,2201,3493,37,6543
2025-02-08,77915,915,924,17,3141
2025-02-09,60396,1697,3283,20,2627
2025-02-10,43446,1145,1306,30,5977
2025-02-11,70724,1905,2225,25,5329
2025-02-12,85306,1671,1644,26,4736
2025-02-13,23751,534,744,11,1819
2025-02-14,82792,1948,2546,37,6758
2025-02-15,68924,1909,3369,23,4586
2025-02-16,13626,196,372,4,776
2025-02-17,10725,175,359,3,749
2025-02-18,50562,684,1454,9,1719
2025-02-19,27479,637,1247,12,1452
2025-02-20,75592,1183,2209,28,4594
2025-02-21,91898,974,1708,13,1541
2025-02-22,61770,829,1646,15,2285
2025-02-23,82545,945,1626,22,4510
2025-02-24,16999,452,576,6,711
2025-02-25,61190,812,1014,15,1836
2025-02-26,89019,2171,3135,37,6005
2025-02-27,42261,1269,2056,17,3235
2025-02-28,14686,165,272,2,344
2025-03-01,74275,1230,1588,31,4037
2025-03-02,43481,1411,2150,24,3438
2025-03-03,24107,617,665,14,2688
2025-03-04,34969,519,861,9,2058
2025-03-05,56378,1345,2366,31,3387
2025-03-06,57170,1375,1708,19,4204
2025-03-07,26837,591,591,11,1041
2025-03-08,81804,1809,2066,44,5049
2025-03-09,69650,2180,2532,45,7389
2025-03-10,88162,1931,3073,41,7091
2025-03-11,35355,736,958,9,1713
2025-03-12,90027,1414,2069,25,5217
2025-03-13,25328,474,712,10,1392
2025-03-14,59348,660,1054,7,958
2025-03-15,24427,324,350,5,951
2025-03-16,23408,502,832,9,981
2025-03-17,48565,1530,2676,39,6827
2025-03-18,37692,658,946,9,969
2025-03-19,29345,596,843,12,2349
2025-03-20,86428,883,1499,24,3742
2025-03-21,29192,749,1307,15,1624
2025-03-22,35448,970,1099,14,2222
2025-03-23,101862,1741,2155,28,3688
2025-03-24,10360,135,183,1,204
2025-03-25,74045,1860,3214,34,3855
2025-03-26,24404,565,615,13,1517
2025-03-27,77058,1055,1271,22,2602
2025-03-28,14522,289,398,5,1031
2025-03-29,76056,2246,3592,34,6041
2025-03-30,62405,825,933,13,1223
2025-03-31,48371,717,914,13,1764
2025-04-01,66192,1091,1864,23,2856
2025-04-02,89399,1766,3060,42,4626
2025-04-03,25304,310,494,7,766
2025-04-04,65507,2071,3219,50,6325
2025-04-05,19085,446,767,7,697
2025-04-06,93702,1766,3065,34,4520
2025-04-07,77462,2289,3794,39,6079
2025-04-08,88889,2048,3554,28,5852
2025-04-09,52248,600,841,11,1309
2025-04-10,50253,842,1067,11,1596
2025-04-11,69120,2081,2502,36,7537
2025-04-12,89518,1740,2248,20,2245
2025-04-13,22275,437,742,6,950
2025-04-14,81832,1096,1462,21,2994
2025-04-15,93408,1841,3761,38,6588
2025-04-16,23712,342,403,8,1188
2025-04-17,82162,1007,1787,20,3433
2025-04-18,100916,1972,2696,47,5840
2025-04-19,20494,411,734,4,669
2025-04-20,47284,707,1291,16,3600
2025-04-21,78176,2261,3261,56,10954
2025-04-22,89388,1918,3469,28,4371
2025-04-23,77748,2094,2230,36,6501
2025-04-24,94167,1058,1999,24,4267
2025-04-25,47093,1075,2054,24,4539
2025-04-26,74564,963,1738,19,3606
2025-04-27,24692,530,1094,9,1232
2025-04-28,62217,758,817,14,2120
2025-04-29,43646,865,1049,15,1917
2025-04-30,71389,1246,2223,24,3196
2025-05-01,12921,236,304,4,536
2025-05-02,103581,1340,1866,26,2804
