date,impressions,clicks,spend,conversions,revenue
2025-01-01,37761,685,519,11,1711
2025-01-02,113622,2139,1923,50,6262
2025-01-03,25676,360,270,7,861
2025-01-04,55742,927,951,16,3532
2025-01-05,50034,669,588,15,3464
2025-01-06,72795,1327,1464,22,3804
2025-01-07,54686,1607,1118,33,6814
2025-01-08,51903,509,545,10,1671
2025-01-09,96174,2195,1870,38,8346
2025-01-10,85203,1569,2066,19,3876
2025-01-11,81432,1020,1090,20,4285
2025-01-12,86724,1608,1626,20,4266
2025-01-13,97450,2234,1909,32,4158
2025-01-14,87059,1682,1782,31,4794
2025-01-15,82315,2176,1913,34,3083
2025-01-16,30991,726,984,13,1970
2025-01-17,112741,2898,2966,70,10287
2025-01-18,65598,2140,1439,28,3779
2025-01-19,74983,1011,1029,23,2972
2025-01-20,89780,1406,998,18,4343
2025-01-21,79638,1829,1825,30,4958
2025-01-22,56982,596,603,11,1558
2025-01-23,25416,196,129,3,693
2025-01-24,83714,1288,1499,29,5466
2025-01-25,61918,1513,2129,35,6437
2025-01-26,39505,399,454,7,1114
2025-01-27,35645,443,593,8,1750
2025-01-28,77867,981,1055,23,4255
2025-01-29,40913,929,669,17,3399
2025-01-30,64428,2025,1969,30,4442
2025-01-31,93925,1932,2165,36,6059
2025-02-01,115794,3255,2584,61,9359
2025-02-02,39694,514,662,9,2087
2025-02-03,37397,807,629,17,2780
2025-02-04,23589,480,401,8,1138
2025-02-05,92100,2462,2909,43,8356
2025-02-06,93317,1307,1032,23,3098
2025-02-07,105397,2964,2764,50,7707
2025-02-08,83825,1171,821,21,3938
2025-02-09,75195,1865,2223,27,3073
2025-02-10,50744,1266,1055,32,7428
2025-02-11,86190,2396,1604,36,6894
2025-02-12,102631,2023,1562,32,5628
2025-02-13,38591,617,672,16,2378
2025-02-14,105603,2186,2095,50,7996
2025-02-15,86755,2521,2970,29,5816
2025-02-16,24397,250,258,5,827
2025-02-17,22719,217,276,3,826
2025-02-18,68469,921,1026,11,2197
2025-02-19,35741,784,991,12,1610
2025-02-20,92642,1666,1765,38,5719
2025-02-21,108105,1162,1391,17,1856
2025-02-22,81877,1214,1223,18,2602
2025-02-23,103967,1170,1098,27,5713
2025-02-24,27443,632,536,7,868
2025-02-25,66742,1199,765,19,2334
2025-02-26,94411,2697,2590,44,6715
2025-02-27,59457,1760,1808,18,3936
2025-02-28,26211,208,214,2,451
2025-03-01,85553,1511,1327,37,5908
2025-03-02,54557,1540,1786,29,4767
2025-03-03,33309,657,604,16,3225
2025-03-04,41657,661,637,12,2391
2025-03-05,68691,1756,1700,37,4394
2025-03-06,65226,1583,1268,25,4588
2025-03-07,35908,770,522,13,1516
2025-03-08,90050,2615,1567,53,5792
2025-03-09,82917,2378,2304,54,8599
2025-03-10,90435,2385,2386,51,8951
2025-03-11,45828,1072,706,12,2348
2025-03-12,96808,2074,1658,36,6226
2025-03-13,36019,662,540,11,1754
2025-03-14,65734,828,949,11,1161
2025-03-15,34177,381,279,6,1258
2025-03-16,39087,640,744,10,1362
2025-03-17,66428,1746,2045,44,9133
2025-03-18,49952,850,897,12,1450
2025-03-19,38705,706,629,15,3294
2025-03-20,104415,1123,1296,25,5154
2025-03-21,45418,877,1060,18,2053
2025-03-22,43038,1140,1034,18,2734
2025-03-23,112277,2162,1808,36,5134
2025-03-24,19294,142,167,1,271
2025-03-25,85477,2285,2603,41,4688
2025-03-26,35785,691,527,15,1920
2025-03-27,91829,1356,1034,26,3449
2025-03-28,25201,403,331,6,1213
2025-03-29,83832,2838,3230,42,7423
2025-03-30,65661,969,720,15,1723
2025-03-31,60497,835,735,18,2162
2025-04-01,75083,1549,1350,29,3323
2025-04-02,106776,2376,2466,51,6117
2025-04-03,38478,394,394,7,970
2025-04-04,88425,2853,2412,59,8104
2025-04-05,29606,602,564,8,942
2025-04-06,110299,2037,2356,37,6077
2025-04-07,95139,2806,3061,51,7430
2025-04-08,102095,2350,2904,37,6922
2025-04-09,66319,788,679,15,1737
2025-04-10,64829,1139,962,15,2077
